Type,Date,Set Time,Title,Amount,Currency,Exchange Rate,Category Group Name,Category,Account,Notes,Labels,Status
Expense,2021-11-06 17:40:03,17:40,Coffee,-1.10,EUR,1.0000000000,Food,Coffee,Splitwise,,Vacation,Reconciled
Expense,2021-11-06 17:29:10,17:29,Eating out - split,25.00,EUR,1.0000000000,Food,Eating out,Splitwise,,Vacation,Reconciled
Expense,2021-11-06 16:46:48,16:46,Eating out,-50.00,EUR,1.0000000000,Food,Eating out,Unibanco,,Vacation,Reconciled
Expense,2021-11-06 12:51:59,12:51,Coffee,-1.30,EUR,1.0000000000,Food,Coffee,Splitwise,,Vacation,Reconciled
Expense,2021-11-05 23:40:46,23:40,Transport,-10.00,EUR,1.0000000000,Vacations,Transportation,Splitwise,,Vacation,Reconciled
Expense,2021-11-05 17:28:54,17:28,Eating out - split,7.10,EUR,1.0000000000,Food,Eating out,Splitwise,,,Reconciled
Expense,2021-11-05 17:28:53,17:28,Eating out,-14.20,EUR,1.0000000000,Food,Eating out,Unibanco,,,Reconciled
Expense,2021-11-05 17:28:32,17:28,Transport,-4.23,EUR,1.0000000000,Transportation,Public transport,Splitwise,Uber Airport,,Reconciled
Expense,2021-11-05 14:59:19,14:59,Appointment,-10.00,EUR,1.0000000000,Health,Appointments,Unibanco,,,Reconciled
Expense,2021-11-04 19:41:10,19:41,Fuel,-20.85,EUR,1.0000000000,Transportation,Fuel,Unibanco,,,Reconciled
Transfer,2021-11-04 15:04:23,15:04,Transfer,-567.94,EUR,1.0000000000,(Transfer),(Transfer),ActivoBank,,,Reconciled
Transfer,2021-11-04 15:04:23,15:04,Transfer,567.94,EUR,1.0000000000,(Transfer),(Transfer),Unibanco,,,Reconciled
Expense,2021-11-04 11:33:22,11:33,Coffee,-1.10,EUR,1.0000000000,Food,Coffee,Boost,,,Cleared
Expense,2021-11-03 22:09:24,22:09,Groceries split,2.62,EUR,1.0000000000,Food,Groceries,Splitwise,,,Reconciled
Expense,2021-11-03 22:09:23,22:09,Groceries,-5.24,EUR,1.0000000000,Food,Groceries,ticket,,,Reconciled
Expense,2021-11-03 20:06:54,20:06,Clothes,-5.00,EUR,1.0000000000,Personal,Clothing,Splitwise,Luvas,,Reconciled
Transfer,2021-11-03 16:32:10,16:32,Transfer,-9.95,EUR,1.0000000000,(Transfer),(Transfer),Boost,Bolt food Mara,,Reconciled
Transfer,2021-11-03 16:32:10,16:32,Transfer,9.95,EUR,1.0000000000,(Transfer),(Transfer),ActivoBank,Bolt food Mara,,Reconciled
Expense,2021-11-03 07:00:40,07:00,Netflix,-13.99,EUR,1.0000000000,Entertainment,Netflix,Boost,,,None
Income,2021-11-02 15:44:14,15:44,Capital Gains T212,-34.00,EUR,1.0000000000,Investments,Capital Gains,Trading 212,,,Reconciled
Income,2021-11-02 15:43:08,15:43,Capital Gains Degiro,45.00,EUR,1.0000000000,Investments,Capital Gains,Degiro,,,Reconciled
Expense,2021-11-02 09:49:44,09:49,Coffee,-1.10,EUR,1.0000000000,Food,Coffee,ActivoBank,,,Reconciled
Expense,2021-11-01 11:07:12,11:07,Coffee,-1.10,EUR,1.0000000000,Food,Coffee,ActivoBank,,,Reconciled
Expense,2021-11-01 10:00:15,10:00,Building administration,-31.44,EUR,1.0000000000,Housing,Building Administration,ActivoBank,,,Reconciled
Transfer,2021-10-30 09:59:53,09:59,Transfer,-300.00,EUR,1.0000000000,(Transfer),(Transfer),Splitwise,,,Reconciled
Transfer,2021-10-30 09:59:53,09:59,Transfer,300.00,EUR,1.0000000000,(Transfer),(Transfer),ActivoBank,,,Reconciled
Expense,2021-10-29 09:59:16,09:59,Eating out - split,-11.35,EUR,1.0000000000,Food,Eating out,Splitwise,,,Reconciled
Income,2021-10-27 13:15:38,13:15,Capital Gains PPR,-3.12,EUR,1.0000000000,Investments,Capital Gains,PPR,,,Reconciled
Income,2021-10-27 12:54:20,12:54,Capital Gains T212,402.00,EUR,1.0000000000,Investments,Capital Gains,Trading 212,,,Reconciled
Income,2021-10-27 12:28:16,12:28,Capital Gains Degiro,89.00,EUR,1.0000000000,Investments,Capital Gains,Degiro,,,Reconciled
Expense,2021-10-27 10:00:14,10:00,Mortgage,-250.00,EUR,1.0000000000,Housing,Mortgage,ActivoBank,,,Reconciled
Income,2021-10-26 13:19:12,13:19,Cashback,2.50,EUR,1.0000000000,Others,Cashback,ActivoBank,,,Reconciled
Transfer,2021-10-26 09:06:59,09:06,Transfer,-500.00,EUR,1.0000000000,(Transfer),(Transfer),Bankinter,,,Reconciled
Transfer,2021-10-26 09:06:59,09:06,Transfer,500.00,EUR,1.0000000000,(Transfer),(Transfer),ActivoBank,,,Reconciled
Expense,2021-10-26 07:00:21,07:00,Internet,-37.00,EUR,1.0000000000,Personal,Internet & Phone,Boost,,,None
Transfer,2021-10-25 12:57:24,12:57,Transfer,-800.01,EUR,1.0000000000,(Transfer),(Transfer),ActivoBank,,,Reconciled
Transfer,2021-10-25 12:57:24,12:57,Transfer,800.01,EUR,1.0000000000,(Transfer),(Transfer),Bankinter,,,Reconciled
Income,2021-10-25 12:53:32,12:53,Salary - ticket,152.60,EUR,1.0000000000,Employer,Salary,ticket,,,Reconciled
Income,2021-10-25 12:52:55,12:52,Salary,893.37,EUR,1.0000000000,Employer,Salary,ActivoBank,,,Reconciled
Transfer,2021-10-25 07:00:42,07:00,Savings,-90.00,EUR,1.0000000000,(Transfer),(Transfer),ActivoBank,,,Reconciled
Transfer,2021-10-25 07:00:42,07:00,Savings,90.00,EUR,1.0000000000,(Transfer),(Transfer),Savings,,,Reconciled
Transfer,2021-10-25 07:00:22,07:00,Annual expenses,-60.00,EUR,1.0000000000,(Transfer),(Transfer),ActivoBank,,,Reconciled
Transfer,2021-10-25 07:00:22,07:00,Annual expenses,60.00,EUR,1.0000000000,(Transfer),(Transfer),Irregular Expenses,,,Reconciled
Expense,2021-10-23 17:09:50,17:09,Furniture,4.48,EUR,1.0000000000,Housing,Furniture,Splitwise,Suporte casa de banho e velas,,Reconciled
Expense,2021-10-23 17:09:49,17:09,Furniture,-8.95,EUR,1.0000000000,Housing,Furniture,Unibanco,Suporte casa de banho e velas,,Reconciled
Expense,2021-10-22 21:03:26,21:03,Groceries split,12.12,EUR,1.0000000000,Food,Groceries,Splitwise,,,Reconciled
Expense,2021-10-22 21:03:25,21:03,Groceries,-24.23,EUR,1.0000000000,Food,Groceries,ticket,,,Reconciled
Expense,2021-10-22 20:17:19,20:17,Groceries split,49.17,EUR,1.0000000000,Food,Groceries,Splitwise,,,Reconciled
Expense,2021-10-22 20:17:18,20:17,Groceries,-98.34,EUR,1.0000000000,Food,Groceries,Unibanco,,,Reconciled
Expense,2021-10-22 12:54:10,12:54,SMAS - split,8.16,EUR,1.0000000000,Housing,Water,Splitwise,,,Reconciled
Expense,2021-10-22 12:54:09,12:54,SMAS,-16.33,EUR,1.0000000000,Housing,Water,ActivoBank,,,Reconciled
Expense,2021-10-21 21:17:23,21:17,Eating out - split,10.13,EUR,1.0000000000,Food,Eating out,Splitwise,,,None
Expense,2021-10-21 21:17:04,21:17,Eating out,-20.25,EUR,1.0000000000,Food,Eating out,Unibanco,,,Reconciled
Expense,2021-10-18 21:10:44,21:10,Toiletries,-14.07,EUR,1.0000000000,Personal,Toiletries,Unibanco,Total = 71.33,,Reconciled
Expense,2021-10-18 21:07:07,21:07,Eating out - split,10.00,EUR,1.0000000000,Food,Eating out,Splitwise,,,Reconciled
Expense,2021-10-18 21:07:06,21:07,Eating out,-20.00,EUR,1.0000000000,Food,Eating out,Boost,,,Reconciled
Expense,2021-10-17 21:58:24,21:58,Gifts,28.63,EUR,1.0000000000,Others,Gifts,Splitwise,,,Reconciled
Expense,2021-10-17 21:58:23,21:58,Gifts,-57.26,EUR,1.0000000000,Others,Gifts,Unibanco,Total = 71.33,,Reconciled
Expense,2021-10-16 21:12:33,21:12,Fuel,-17.65,EUR,1.0000000000,Transportation,Fuel,Unibanco,,,Reconciled
Expense,2021-10-16 17:08:16,17:08,Furniture,5.49,EUR,1.0000000000,Housing,Furniture,Splitwise,,,Reconciled
Expense,2021-10-16 17:08:15,17:08,Furniture,-10.98,EUR,1.0000000000,Housing,Furniture,Unibanco,,,Reconciled
Expense,2021-10-15 21:19:06,21:19,Groceries split,30.94,EUR,1.0000000000,Food,Groceries,Splitwise,,,Reconciled
Expense,2021-10-15 21:19:05,21:19,Groceries,-61.87,EUR,1.0000000000,Food,Groceries,ticket,,,Reconciled
Expense,2021-10-11 21:18:11,21:18,Electricity - split,20.79,EUR,1.0000000000,Housing,Electricity,Splitwise,,,Reconciled
Expense,2021-10-11 21:08:13,21:08,Electricity,-41.59,EUR,1.0000000000,Housing,Electricity,ActivoBank,,,Reconciled
Income,2021-10-11 07:00:56,07:00,Salary,36.90,EUR,1.0000000000,Employer,Salary,PPR,,,Reconciled
Income,2021-10-09 21:14:17,21:14,Cashback,-27.61,EUR,1.0000000000,Others,Cashback,Unibanco,,,Reconciled
Expense,2021-10-08 21:15:30,21:15,Eating out,-42.40,EUR,1.0000000000,Food,Eating out,Unibanco,,,Reconciled
Expense,2021-10-07 21:44:19,21:44,Eating out,20.00,EUR,1.0000000000,Food,Eating out,Cash,Mãe Mariana,,Reconciled
Expense,2021-10-07 21:44:18,21:44,Eating out,-15.00,EUR,1.0000000000,Food,Eating out,Unibanco,,,Reconciled
Expense,2021-10-07 17:45:11,17:45,Coffee,9.52,EUR,1.0000000000,Food,Coffee,Splitwise,,,Reconciled
Expense,2021-10-07 17:44:41,17:44,Coffee,-19.04,EUR,1.0000000000,Food,Coffee,Cash,,,Reconciled
Transfer,2021-10-07 17:38:22,17:38,Transfer,-20.00,EUR,1.0000000000,(Transfer),(Transfer),ActivoBank,,,Reconciled
Transfer,2021-10-07 17:38:22,17:38,Transfer,20.00,EUR,1.0000000000,(Transfer),(Transfer),Cash,,,Reconciled
Expense,2021-10-07 17:30:33,17:30,Appointment,-37.50,EUR,1.0000000000,Health,Appointments,Unibanco,,,Reconciled
Expense,2021-10-06 14:04:26,14:04,Coffee,-0.75,EUR,1.0000000000,Food,Coffee,Splitwise,,,Reconciled
Expense,2021-10-06 10:32:56,10:32,Coffee,-1.10,EUR,1.0000000000,Food,Coffee,Splitwise,,,Reconciled
Expense,2021-10-04 17:36:48,17:36,Coffee,-1.75,EUR,1.0000000000,Food,Coffee,Splitwise,,,Reconciled
Expense,2021-10-04 12:55:10,12:55,App,-2.97,EUR,1.0000000000,Personal,Personal Gifts,Unibanco,Business calendar,,Reconciled
Expense,2021-10-04 07:00:40,07:00,Netflix,-13.99,EUR,1.0000000000,Entertainment,Netflix,Boost,,,None
Expense,2021-10-03 21:10:02,21:10,Eating out - split,9.90,EUR,1.0000000000,Food,Eating out,Splitwise,,,Reconciled
Expense,2021-10-03 21:10:01,21:10,Eating out,-19.80,EUR,1.0000000000,Food,Eating out,Unibanco,,,Reconciled
Expense,2021-10-01 21:09:59,21:09,Groceries split,34.49,EUR,1.0000000000,Food,Groceries,Splitwise,,,Reconciled
Expense,2021-10-01 21:09:47,21:09,Groceries,-68.97,EUR,1.0000000000,Food,Groceries,ticket,,,Reconciled
Expense,2021-10-01 10:00:15,10:00,Building administration,-31.44,EUR,1.0000000000,Housing,Building Administration,ActivoBank,,,Reconciled
Expense,2021-09-30 11:17:35,11:17,Building administration,-133.92,EUR,1.0000000000,Housing,Building Administration,ActivoBank,,,Reconciled
Transfer,2021-09-29 08:45:30,08:45,Transfer,-313.74,EUR,1.0000000000,(Transfer),(Transfer),ActivoBank,,,Reconciled
Transfer,2021-09-29 08:45:30,08:45,Transfer,313.74,EUR,1.0000000000,(Transfer),(Transfer),Unibanco,,,Reconciled
Expense,2021-09-28 11:24:28,11:24,Eating out - split,-7.50,EUR,1.0000000000,Food,Eating out,Splitwise,,,Reconciled
Income,2021-09-28 08:42:48,08:42,Interest,0.03,EUR,1.0000000000,Investments,Interest,Irregular Expenses,,,Reconciled
Transfer,2021-09-28 08:41:54,08:41,Transfer,-500.00,EUR,1.0000000000,(Transfer),(Transfer),Bankinter,,,Reconciled
Transfer,2021-09-28 08:41:54,08:41,Transfer,500.00,EUR,1.0000000000,(Transfer),(Transfer),ActivoBank,,,Reconciled
Expense,2021-09-27 21:41:49,21:41,Flights - split,25.09,EUR,1.0000000000,Vacations,Flights,Splitwise,,Vacation,Reconciled
Expense,2021-09-27 21:41:48,21:41,Flights - split,21.49,EUR,1.0000000000,Vacations,Flights,Splitwise,,Vacation,Reconciled
Expense,2021-09-27 21:41:47,21:41,Flights,-50.18,EUR,1.0000000000,Vacations,Flights,Unibanco,,Vacation,Reconciled
Expense,2021-09-27 21:41:46,21:41,Flights,-42.98,EUR,1.0000000000,Vacations,Flights,Unibanco,,Vacation,Reconciled
Expense,2021-09-27 13:42:27,13:42,Groceries split,-5.21,EUR,1.0000000000,Food,Groceries,Splitwise,,,Reconciled
Transfer,2021-09-26 14:28:01,14:28,Transfer,-800.01,EUR,1.0000000000,(Transfer),(Transfer),ActivoBank,,,Reconciled
Transfer,2021-09-26 14:28:01,14:28,Transfer,800.01,EUR,1.0000000000,(Transfer),(Transfer),Bankinter,,,Reconciled
Expense,2021-09-26 07:00:21,07:00,Internet,-37.00,EUR,1.0000000000,Personal,Internet & Phone,Boost,,,Reconciled
Expense,2021-09-25 11:29:21,11:29,Fuel,72.63,EUR,1.0000000000,Transportation,Fuel,ActivoBank,,,Reconciled
Expense,2021-09-25 11:29:20,11:29,Fuel,-72.63,EUR,1.0000000000,Transportation,Fuel,Unibanco,,,Reconciled
Expense,2021-09-24 10:00:14,10:00,Mortgage,-250.00,EUR,1.0000000000,Housing,Mortgage,ActivoBank,,,Reconciled
Income,2021-09-24 09:19:15,09:19,Salary - ticket,167.86,EUR,1.0000000000,Employer,Salary,ticket,,,Reconciled
Income,2021-09-24 09:19:14,09:19,Salary,944.10,EUR,1.0000000000,Employer,Salary,ActivoBank,,,Reconciled
Transfer,2021-09-24 07:00:42,07:00,Savings,-90.00,EUR,1.0000000000,(Transfer),(Transfer),ActivoBank,,,Reconciled
Transfer,2021-09-24 07:00:42,07:00,Savings,90.00,EUR,1.0000000000,(Transfer),(Transfer),Savings,,,Reconciled
Transfer,2021-09-24 07:00:22,07:00,Annual expenses,-60.00,EUR,1.0000000000,(Transfer),(Transfer),ActivoBank,,,Reconciled
Transfer,2021-09-24 07:00:22,07:00,Annual expenses,60.00,EUR,1.0000000000,(Transfer),(Transfer),Irregular Expenses,,,Reconciled
Expense,2021-09-23 21:51:19,21:51,Groceries split,41.79,EUR,1.0000000000,Food,Groceries,Splitwise,,,Reconciled
Expense,2021-09-23 21:51:18,21:51,Groceries,-83.58,EUR,1.0000000000,Food,Groceries,ticket,,,Reconciled
Expense,2021-09-21 20:16:42,20:16,Eating out - split,8.52,EUR,1.0000000000,Food,Eating out,Splitwise,,,Reconciled
Expense,2021-09-21 20:16:22,20:16,Eating out,-17.04,EUR,1.0000000000,Food,Eating out,Unibanco,,,Reconciled
Expense,2021-09-20 22:54:28,22:54,Gifts,18.65,EUR,1.0000000000,Others,Gifts,Splitwise,,,Reconciled
Expense,2021-09-20 22:54:03,22:54,Gifts,-37.30,EUR,1.0000000000,Others,Gifts,Unibanco,Jantar Andreína,,Reconciled
Expense,2021-09-20 13:41:19,13:41,SMAS - split,12.95,EUR,1.0000000000,Housing,Water,Splitwise,,,Reconciled
Expense,2021-09-20 13:41:02,13:41,SMAS,-25.90,EUR,1.0000000000,Housing,Water,ActivoBank,,,Reconciled
Expense,2021-09-19 20:21:46,20:21,Clothes,20.98,EUR,1.0000000000,Personal,Clothing,ActivoBank,,,Reconciled
Expense,2021-09-19 20:21:13,20:21,Clothes,-20.98,EUR,1.0000000000,Personal,Clothing,Unibanco,,,Reconciled
Expense,2021-09-19 15:26:11,15:26,Fuel,-18.53,EUR,1.0000000000,Transportation,Fuel,Unibanco,,,Reconciled
Expense,2021-09-18 20:56:24,20:56,Groceries split,41.41,EUR,1.0000000000,Food,Groceries,Splitwise,,,Reconciled
Expense,2021-09-18 20:54:34,20:54,Groceries,-82.82,EUR,1.0000000000,Food,Groceries,ticket,,,Reconciled
Expense,2021-09-18 18:27:51,18:27,Eating out,-10.60,EUR,1.0000000000,Food,Eating out,Unibanco,,,Reconciled
Expense,2021-09-18 12:58:42,12:58,Coffee,-2.00,EUR,1.0000000000,Food,Coffee,Unibanco,,,Reconciled
Expense,2021-09-18 12:58:34,12:58,Eating out,-2.00,EUR,1.0000000000,Food,Eating out,Unibanco,,,Reconciled
Expense,2021-09-17 21:51:56,21:51,Eating out - split,12.15,EUR,1.0000000000,Food,Eating out,Splitwise,,,Reconciled
Expense,2021-09-17 21:51:46,21:51,Eating out,-24.29,EUR,1.0000000000,Food,Eating out,Unibanco,,,Reconciled
Expense,2021-09-17 13:22:18,13:22,Groceries,-12.31,EUR,1.0000000000,Food,Groceries,ticket,,,Reconciled
Expense,2021-09-16 10:16:10,10:16,Coffee,-1.10,EUR,1.0000000000,Food,Coffee,Unibanco,,,Reconciled
Expense,2021-09-15 20:52:03,20:52,Eating out - split,-8.80,EUR,1.0000000000,Food,Eating out,Splitwise,,,Reconciled
Expense,2021-09-14 19:00:31,19:00,Groceries,-12.74,EUR,1.0000000000,Food,Groceries,ticket,,,Reconciled
Expense,2021-09-14 19:00:16,19:00,Groceries split,6.37,EUR,1.0000000000,Food,Groceries,Splitwise,,,Reconciled
Expense,2021-09-14 18:39:23,18:39,Barber,-6.00,EUR,1.0000000000,Personal,Barber,Unibanco,,,Reconciled
Expense,2021-09-14 14:03:47,14:03,Sports,-12.00,EUR,1.0000000000,Entertainment,Sports,Splitwise,Quantum Park,,Reconciled
Expense,2021-09-14 14:01:33,14:01,Eating out - split,-7.50,EUR,1.0000000000,Food,Eating out,Splitwise,,,Reconciled
Expense,2021-09-13 19:41:17,19:41,Eating out - split,7.40,EUR,1.0000000000,Food,Eating out,Splitwise,,,Reconciled
Expense,2021-09-13 19:40:47,19:40,Eating out,-14.80,EUR,1.0000000000,Food,Eating out,Unibanco,,,Reconciled
Expense,2021-09-11 12:02:10,12:02,Fuel,-71.62,EUR,1.0000000000,Transportation,Fuel,Unibanco,,,Reconciled
Expense,2021-09-10 19:42:00,19:42,Electricity,-28.73,EUR,1.0000000000,Housing,Electricity,ActivoBank,,,Reconciled
Expense,2021-09-10 08:20:13,08:20,Electricity - split,14.37,EUR,1.0000000000,Housing,Electricity,Splitwise,,,Reconciled
Income,2021-09-10 07:00:56,07:00,Salary,36.90,EUR,1.0000000000,Employer,Salary,PPR,,,Reconciled
Expense,2021-09-09 08:15:06,08:15,Eating out,-15.68,EUR,1.0000000000,Food,Eating out,Unibanco,Mealheiro,,Reconciled
Expense,2021-09-08 20:16:39,20:16,Eating out - split,9.90,EUR,1.0000000000,Food,Eating out,Splitwise,TGB,,Reconciled
Expense,2021-09-08 20:14:37,20:14,Eating out,-19.80,EUR,1.0000000000,Food,Eating out,Unibanco,TGB ,,Reconciled
Expense,2021-09-07 20:16:57,20:16,Groceries,-4.90,EUR,1.0000000000,Food,Groceries,ticket,,,Reconciled
Expense,2021-09-05 20:54:00,20:54,Groceries,-9.99,EUR,1.0000000000,Food,Groceries,ticket,,,Reconciled
Expense,2021-09-05 10:37:19,10:37,Groceries split,5.29,EUR,1.0000000000,Food,Groceries,Splitwise,,,Reconciled
Expense,2021-09-05 10:36:46,10:36,Groceries,-10.57,EUR,1.0000000000,Food,Groceries,ticket,,,Reconciled
Expense,2021-09-05 00:46:30,00:46,Drinks,-25.50,EUR,1.0000000000,Food,Drinks,Unibanco,,,Reconciled
Expense,2021-09-04 16:14:15,16:14,Eating out - split,47.29,EUR,1.0000000000,Food,Eating out,Splitwise,,,Reconciled
